510,0.26195,0.27552,0.23368,0.20389,0.25026,0.23987,0.23017,0.21704,0.24658,0.23782,0.23191,0.23494,0.2485,0.28044,0.26422,0.29559,0.23445,0.23986,0.28989,0.27667,0.21853,0.21176,0.27246,0.21366,0.24906,0.24983,0.26186,0.26822,0.3681,0.2947,0.23125,0.36109,0.035927,0.028028,0.027518,0.029256,0.030938,0.059931,0.074324,0,0.066516,0,0.047324,0.040609,0.03154,0.10713,0.078097,0.096386,0,0.060559,0.053484,0.06634,0.049406,0.057525,0,0.063327,0.17881
540,0.26938,0.29303,0.2469,0.2082,0.25142,0.2368,0.23459,0.22152,0.257,0.23893,0.23638,0.23917,0.25257,0.27576,0.27396,0.30741,0.23836,0.24831,0.2926,0.2901,0.22409,0.21872,0.27837,0.21982,0.25342,0.26567,0.26937,0.27062,0.38209,0.30282,0.22823,0.37543,0.035262,0.027924,0.027542,0.031123,0.028796,0.05834,0.077021,0,0,0,0.046785,0.040762,0.03215,0.11024,0.078744,0.10209,0,0.061645,0.052321,0.062533,0.050076,0.055225,0,0.063417,0.18516
570,0.28166,0.31557,0.26479,0.21482,0.25256,0.23995,0.23667,0.22626,0.25724,0.24402,0.2498,0.24177,0.26682,0.28138,0.2859,0.3149,0.24547,0.26087,0.29989,0.3024,0.23768,0.22846,0.29556,0.22968,0.24802,0.28605,0.26528,0.27843,0.40608,0.31645,0.22778,0.41019,0.036688,0.030932,0.028509,0.034294,0.030075,0.060043,0.078092,0,0,0,0.048324,0.039556,0.034564,0.1157,0.084352,0.10742,0,0.065301,0.051608,0.06031,0.052583,0.056434,0,0.06377,0.19198
600,0.27048,0.32499,0.26786,0.21939,0.25366,0.22662,0.24097,0.22686,0.25877,0.23768,0.24397,0.22727,0.2639,0.27279,0.28814,0.31554,0.2434,0.26533,0.29567,0.30018,0.23926,0.22847,0.30043,0.23031,0.24652,0.27925,0.26709,0.26972,0.42121,0.31871,0.22726,0.42577,0.038433,0.03168,0.029522,0.03449,0.02982,0.060404,0.078458,0,0,0,0.048041,0.042417,0.034535,0.12117,0.085682,0.11431,0,0.066058,0.051564,0.057367,0.053272,0.056861,0,0.065521,0.1921
630,0.26524,0.3311,0.26461,0.2174,0.2532,0.20753,0.23815,0.22951,0.25473,0.23568,0.23871,0.21999,0.25923,0.26637,0.29249,0.31573,0.24212,0.27382,0.29216,0.30514,0.23727,0.22826,0.29985,0.22798,0.24588,0.28278,0.27481,0.2628,0.42533,0.32015,0.2267,0.43809,0.038771,0.032716,0.030929,0.037154,0.029151,0.059803,0.080151,0,0,0,0.04788,0.041206,0.035241,0.1278,0.088396,0.11804,0,0.072843,0.054926,0.057051,0.05565,0.058424,0,0.063195,0.1922
660,0.275,0.34583,0.27913,0.21376,0.24625,0.20857,0.23398,0.22089,0.2433,0.22561,0.24345,0.21343,0.26361,0.26919,0.30342,0.33079,0.23577,0.28687,0.29778,0.31142,0.24212,0.23892,0.31572,0.22596,0.23547,0.29361,0.26592,0.26223,0.44146,0.31767,0.22062,0.40575,0.039115,0.033321,0.031002,0.03866,0.027914,0.05995,0.082619,0,0,0,0.046402,0.041397,0.035721,0.13696,0.090842,0.12135,0,0.076308,0.055644,0.058255,0.057662,0.060457,0,0.06147,0.1935
690,0.27617,0.35893,0.28796,0.20643,0.25409,0.21122,0.23761,0.20833,0.25128,0.2049,0.24984,0.21191,0.27254,0.26941,0.31123,0.33775,0.23639,0.29592,0.29739,0.32241,0.23979,0.24258,0.31782,0.22427,0.2349,0.30167,0.26771,0.257,0.45525,0.32022,0.22052,0.40536,0.039115,0.035469,0.032589,0.039339,0.029829,0.060824,0.085838,0,0,0,0.044019,0.043829,0.035358,0.14428,0.090978,0.12571,0,0.075182,0.05697,0.060755,0.057957,0.061458,0,0.061142,0.19548
720,0.27448,0.36347,0.28651,0.18991,0.24352,0.19124,0.24005,0.20112,0.25028,0.19113,0.24701,0.20838,0.26918,0.26308,0.30879,0.33199,0.23248,0.29979,0.2866,0.32115,0.23191,0.24357,0.31424,0.22717,0.23328,0.29809,0.27504,0.24797,0.45779,0.3281,0.21953,0.40918,0.038576,0.036647,0.033798,0.039029,0.030445,0.061909,0.08504,0,0,0,0.04514,0.042664,0.035922,0.15081,0.093608,0.12938,0,0.076384,0.057098,0.060148,0.059708,0.06413,0,0.060701,0.19387
750,0.28975,0.38068,0.30416,0.20243,0.24921,0.19772,0.24596,0.22364,0.2605,0.20188,0.25455,0.20711,0.27172,0.27251,0.32888,0.35114,0.23769,0.32069,0.29813,0.33546,0.23682,0.25721,0.32609,0.23457,0.23492,0.30802,0.2876,0.25158,0.46253,0.33756,0.23234,0.41464,0.03719,0.037224,0.034193,0.036697,0.02958,0.062782,0.08633,0,0,0,0.045073,0.042657,0.036144,0.15087,0.096188,0.13068,0,0.075958,0.056493,0.058019,0.058836,0.06621,0,0.057768,0.20033
780,0.30811,0.41038,0.33165,0,0.27181,0.22428,0.2627,0,0.27284,0,0.27523,0.22375,0.28557,0.29403,0.3516,0.37759,0.24842,0.3381,0.31794,0.35323,0.26302,0.27575,0.35103,0.24617,0.2444,0.33538,0.30087,0.26194,0.48001,0.35627,0.24203,0.4402,0.037319,0.038052,0.034993,0.035793,0.031365,0.062845,0.08838,0,0,0,0.048678,0.044184,0.035225,0.15734,0.096436,0.13546,0,0.074907,0.055596,0.062601,0.059103,0.068603,0,0.060741,0.21192
810,0.32627,0.43771,0.3519,0,0.28433,0.23745,0.27769,0,0.28236,0,0.2996,0.24122,0.3009,0.31329,0.36338,0.40556,0.25998,0.35111,0.3307,0.37307,0.27761,0.28803,0.36641,0.26504,0.25722,0.35566,0.31611,0.26727,0.50887,0.38604,0.25019,0.44917,0.037988,0.038633,0.036024,0.035342,0.032333,0.063257,0.08822,0,0,0,0.048583,0.044079,0.035697,0.1588,0.098782,0.14003,0,0.073376,0.051964,0.067333,0.059455,0.070893,0,0.060074,0.22219
840,0.33067,0.4493,0.36823,0,0.28949,0.24119,0.28534,0,0.28554,0,0.29944,0.24144,0.30169,0.31606,0.37386,0.41914,0.26141,0.36116,0.33903,0.39199,0.27612,0.30084,0.37416,0.27114,0.25416,0.36819,0.32235,0.26871,0.5268,0.40726,0.26009,0.46646,0,0.038543,0.036346,0.036559,0.031129,0.063191,0.089721,0,0,0,0.049097,0.045706,0.035946,0.16089,0.10061,0.1411,0,0.070869,0.050137,0.072191,0.059665,0.073285,0,0.058349,0.23116
870,0.33633,0.4767,0.393,0,0,0.26461,0.29773,0,0.28846,0,0.31182,0.24755,0.31428,0.3395,0.38897,0.43665,0.26956,0.37089,0.35175,0.40477,0.28852,0.31014,0.39492,0.27955,0.25038,0.38052,0.32477,0.27094,0.54265,0.42919,0.26109,0.47899,0,0.039933,0.036752,0.036772,0.030313,0.06202,0.089363,0,0,0,0.051076,0.044974,0.036196,0.16188,0.10089,0.1436,0,0.073355,0.051914,0.073962,0.060933,0.074155,0,0.059112,0.23764
900,0.37166,0.52411,0.43643,0,0,0,0.32598,0,0.32427,0,0.35424,0.28049,0.34727,0.37311,0.42071,0.48004,0.29998,0.41055,0.38472,0.44491,0.32241,0.34088,0.43731,0.30941,0.28059,0.4283,0.36013,0.3009,0.57457,0.48012,0.28323,0.50124,0,0.040948,0.037977,0.039104,0.032168,0.065017,0.092007,0,0,0,0.050628,0.04531,0.037592,0.16488,0.10342,0.14689,0,0.073339,0.055071,0.076082,0.064637,0.075692,0,0.062091,0.25912
930,0.37135,0.54244,0.44709,0,0,0,0.33182,0,0.33023,0,0.35744,0.28236,0.34731,0.37188,0.42618,0.50222,0.30175,0.40765,0.38986,0.44769,0.31547,0.34561,0.44379,0.30841,0.27757,0.43738,0.369,0.30031,0.58324,0.49488,0.28926,0.51711,0,0.041692,0.037846,0.041017,0.03151,0.06432,0.094147,0,0,0,0.052048,0.045465,0.038121,0.16936,0.10626,0.14754,0,0.074126,0.055809,0.074193,0.063886,0.074911,0,0.062015,0.26252
960,0.37765,0.56228,0.46233,0,0,0,0.33686,0,0.33405,0,0.35683,0.28341,0.35695,0.37561,0.43534,0.51472,0.30342,0.4147,0.40018,0.46462,0.32155,0.3534,0.45222,0.31324,0.27355,0.45179,0.36977,0.30721,0.60528,0.50992,0.28708,0.5158,0,0.042456,0.038923,0.044193,0.032535,0.066636,0.095426,0,0,0,0.053889,0.04663,0.039809,0.17601,0.10837,0.14604,0,0.074562,0.057765,0.075576,0.064492,0.077282,0,0.061854,0.2676
990,0.36939,0.57348,0.47018,0,0,0,0.33422,0,0.32649,0,0.35546,0.27775,0.35697,0.37868,0.44501,0.5149,0.3043,0.42249,0.39967,0.47596,0.31728,0.35096,0.45493,0.30443,0.26748,0.45603,0.37036,0.30599,0.60391,0.50469,0.28439,0.56199,0,0.044664,0.039452,0.046509,0.035436,0.069693,0.098408,0,0,0,0.056765,0.046092,0.039311,0.17996,0.10986,0.14826,0,0.075108,0.057292,0.079658,0.0658,0.080395,0,0.063585,0.26941
1020,0.35804,0.59284,0.47716,0,0,0,0.33636,0,0.32504,0,0.36769,0.27739,0.35754,0.3777,0.44362,0.52802,0.31019,0.43791,0.39923,0.45987,0.31559,0.35671,0.45804,0.30434,0.26706,0.45253,0.37585,0.30529,0.59512,0.50253,0.28862,0.54792,0,0.045683,0.039965,0.047382,0.037058,0.069286,0.09658,0,0,0,0.058514,0.047712,0.040864,0.18179,0.10821,0.15132,0,0.075934,0.059697,0.082463,0.065788,0.082838,0,0.065404,0.27055
